0017A546	7EA51DDC
003CD9E5	81415333
004540E0	7DF3DE60
004540E0	800F1DB6
00500DE9	7EDA89C6
0051B595	2F4F7750
00549414	7AD4725A
0059DEA3	7FC37865
00652DC4	7D27EDFC
007CE277	038A8CBF
00923FFD	7F13F33D
00A73215	7E73728F
00B14875	8036A84D
00C0C967	7D346F45
00C4DECD	7FADA69B
00C9C6AF	5F0BB605
00CB18C5	5F4058AC
00D87A57	7F3B9B7D
00DE448B	78144BDD
010D74FD	814228F5
012B1246	7ACDE861
012B755B	00CAC87E
014CD70B	7E441FB7
7CC618DE	7E441FB7
7D3C36A7	7E441FB7
78A8CBCA	7E441FB7
0151BAB9	7FFD2D64
01DBAAA6	7FFD2D64
0153DD10	79B8535A
015E9E5D	5F9BB06A
0162A8F4	7E67DC6F
016632DB	09F06811
0168F74C	5C829226
016DE9C9	80F19E22
0170CF36	8114F6AD
01721F00	814B92A1
0184252C	7E12A1BA
01879280	8125DDBF
019601DA	7C4FD545
01A22BA5	58EF3B98
01A5DF5F	808CE875
01BDB7F5	7E7E898E
01C04444	6A886314
01CA70CA	5BAFA539
01CDF4CD	5CB759B9
